"","session","site","relief_cm","species_order","family","species","size_bin","size_bin_lengths","habitat","octocoral","stony","relief_cm.1","predator_presence","nocturnal","position","behavior","max_length","colouration","cryptic_behaviour","trophic_position","shape","SVC_date","SVC_area","SVC_max_depth","SVC_density","prey_date","prey_depth","prey_area","prey_density","SVC_prey_difference","total_density","log_difference","average_depth"
"1",141,"BISC-P12a",42.1666666666667,"Perciformes","Pomacentridae","threespot damselfish",2,7.533217,"Patch",70,5,42.1666666666667,0,0,"demersal","solitary",13,"neutral","0","herbivore","compressiform",2014-09-16,78.53981634,15,0.0254647908946205,2014-09-16,14.5,48,0.0208333333333333,0.00463145756128719,0.0462981242279539,0.19237735010105,14.75
"2",141,"BISC-P12a",42.1666666666667,"Perciformes","Labridae","redband parrotfish",1,3.63321,"Patch",70,5,42.1666666666667,0,0,"demersal","shoaling",28,"colourful","1","herbivore","fusiform",2014-09-16,78.53981634,15,0.0127323954473103,2014-09-16,14.5,48,0.125,-0.11226760455269,0.13773239544731,-2.21652423426774,14.75
"3",141,"BISC-P12a",42.1666666666667,"Perciformes","Labridae","striped parrotfish",1,3.63321,"Patch",70,5,42.1666666666667,0,0,"demersal","shoaling",35,"colourful","0","herbivore","fusiform",2014-09-16,78.53981634,15,0.0477464829274135,2014-09-16,14.5,48,0.145833333333333,-0.0980868504059199,0.193579816260747,-1.10266510694555,14.75
"4",141,"BISC-P12a",42.1666666666667,"Perciformes","Acanthuridae","blue tang",2,7.533217,"Patch",70,5,42.1666666666667,0,0,"demersal","solitary",36,"colourful","0","herbivore","compressiform",2014-09-16,78.53981634,15,0.0127323954473103,2014-09-16,14.5,48,0,0.0127323954473103,0.0127323954473103,2.61975767268374,14.75
"5",141,"BISC-P12a",42.1666666666667,"Perciformes","Labridae","redband parrotfish",2,7.533217,"Patch",70,5,42.1666666666667,0,0,"demersal","shoaling",28,"colourful","1","herbivore","fusiform",2014-09-16,78.53981634,15,0.0254647908946205,2014-09-16,14.5,48,0.0833333333333333,-0.0578685424387128,0.108798124227954,-1.15896199598526,14.75
"6",141,"BISC-P12a",42.1666666666667,"Perciformes","Labridae","striped parrotfish",2,7.533217,"Patch",70,5,42.1666666666667,0,0,"demersal","shoaling",35,"colourful","0","herbivore","fusiform",2014-09-16,78.53981634,15,0.0954929658548269,2014-09-16,14.5,48,0.0625,0.0329929658548269,0.157992965854827,0.418430207093399,14.75
"7",141,"BISC-P12a",42.1666666666667,"Perciformes","Labridae","striped parrotfish",4,17.94356,"Patch",70,5,42.1666666666667,0,0,"demersal","shoaling",35,"colourful","0","herbivore","fusiform",2014-09-16,78.53981634,15,0.0350140874801032,2014-09-16,14.5,48,0,0.0350140874801032,0.0350140874801032,3.5839101808026,14.75
"8",141,"BISC-P12a",42.1666666666667,"Perciformes","Labridae","redband parrotfish",3,12.91456,"Patch",70,5,42.1666666666667,0,0,"demersal","shoaling",28,"colourful","1","herbivore","fusiform",2014-09-16,78.53981634,15,0.0127323954473103,2014-09-16,14.5,48,0.0416666666666667,-0.0289342712193564,0.0543990621139769,-1.13366030256777,14.75
"9",141,"BISC-P12a",42.1666666666667,"Perciformes","Labridae","striped parrotfish",5,24.92844,"Patch",70,5,42.1666666666667,0,0,"demersal","shoaling",35,"colourful","0","herbivore","fusiform",2014-09-16,78.53981634,15,0.0127323954473103,2014-09-16,14.5,48,0,0.0127323954473103,0.0127323954473103,2.61975767268374,14.75
"10",141,"BISC-P12a",42.1666666666667,"Perciformes","Pomacentridae","dusky damselfish",2,7.533217,"Patch",70,5,42.1666666666667,0,0,"demersal","solitary",15,"neutral","0","herbivore","compressiform",2014-09-16,78.53981634,15,0,2014-09-16,14.5,48,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75
